experiment_id,timestamp,seed,model,fl_algorithm,pred_len,learning_rate,local_epochs,num_rounds_configured,num_rounds_completed,batch_size,num_clients,weight_decay,warmup_rounds,proximal_mu,early_stop_patience,dropout,seq_len,patch_size,stride,num_patches,d_model,hidden_size,kernel_size,llm_layers,lora_r,lora_alpha,lora_dropout,num_trainable_params,num_total_params,model_payload_mb,best_round,best_val_mse,best_val_mae,best_val_rmse,best_test_mse,best_test_mae,best_test_rmse,best_train_mse,first_round_val_loss,final_round_val_loss,val_loss_improvement_pct,overfit_gap,overfit_ratio,converged,loss_trend_last3,early_stopped,early_stop_round,client_val_mae_mean,client_val_mae_std,client_val_mae_min,client_val_mae_max,client_val_mae_best_city,client_val_mae_worst_city,fairness_ratio,payload_per_round_mb,total_comm_mb,comm_to_best_mb,rounds_per_mae_point,total_training_time_sec,total_training_time_min,avg_round_duration_sec,avg_client_train_dur_sec,max_client_train_dur_sec,status,experiment_dir,notes,dataset_name,target_column
experiments_20260208_184444,20260208_184444,2021,gpt4ts_nonlinear,fedavg,72,0.0001,1,15,11,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,6.0,0.904241,0.736852,0.950198,0.897513,0.733219,0.947224,0.87297,0.932131,0.917933,2.99,0.031271,1.0358,False,increasing,True,11.0,0.7368522405624389,0.0492622389463067,0.6425840258598328,0.7798706293106079,Taraz,Aktau,1.2136,264.59024,29104.93,15875.41,4.62,5746.408534,95.773476,522.4,70.89,74.34,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_184444,,,
experiments_20260208_184810,20260208_184810,2021,gpt4ts_nonlinear,fedavg,72,0.0001,2,15,9,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,4.0,0.904525,0.735652,0.950343,0.901724,0.733121,0.949432,0.866799,0.921538,1.001234,1.85,0.037726,1.0435,False,increasing,True,9.0,0.7356521248817444,0.0491204934705279,0.6410700678825378,0.7768622636795044,Taraz,Aktau,1.2118,264.59024,23813.12,10583.61,4.08,7790.677139,129.844619,865.63,139.88,142.43,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_184810,,,
experiments_20260208_184844,20260208_184844,2021,gpt4ts_nonlinear,fedavg,72,0.0001,3,15,7,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,2.0,0.909165,0.73809,0.952712,0.902909,0.734594,0.95006,0.879363,0.920711,1.014147,1.25,0.029802,1.0339,False,increasing,True,7.0,0.7380898118019104,0.0511095885725874,0.6402027010917664,0.7828288674354553,Taraz,Aktau,1.2228,264.59024,18521.32,5291.8,2.78,8617.053866,143.617564,1231.01,212.35,216.68,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_184844,,,
experiments_20260208_202049,20260208_202049,2021,gpt4ts_nonlinear,fedavg,72,0.0003,1,15,9,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,4.0,0.906512,0.737188,0.951461,0.903082,0.735142,0.950197,0.873677,0.917685,0.961806,1.22,0.032835,1.0376,False,increasing,True,9.0,0.7371876955032348,0.0481152683019668,0.6447799801826477,0.7801080346107483,Taraz,Aktau,1.2099,264.59024,23813.12,10583.61,7.11,4765.948417,79.432474,529.55,71.73,76.68,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_202049,,,
experiments_20260208_205822,20260208_205822,2021,gpt4ts_nonlinear,fedavg,72,0.0003,2,15,7,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,2.0,0.907974,0.736973,0.952139,0.901675,0.733858,0.949422,0.8758,0.917071,1.072919,0.99,0.032174,1.0367,False,increasing,True,7.0,0.7369732618331909,0.0507598239050961,0.6397016644477844,0.7815526723861694,Taraz,Aktau,1.2217,264.59024,18521.32,5291.8,4.06,6061.449821,101.024164,865.92,139.18,141.9,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_205822,,,
experiments_20260208_214034,20260208_214034,2021,gpt4ts_nonlinear,fedavg,72,0.0005,1,15,8,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,3.0,0.90699,0.73842,0.951665,0.901178,0.735081,0.949184,0.880776,0.916911,0.951639,1.08,0.026214,1.0298,False,increasing,True,8.0,0.7384203672409058,0.0487929517743031,0.6454047560691833,0.7825962901115417,Taraz,Aktau,1.2126,264.59024,21167.22,7937.71,8.86,4200.247082,70.004118,525.03,70.64,75.82,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_214034,,,
experiments_20260208_211241,20260208_211241,2021,gpt4ts_nonlinear,fedavg,72,0.0003,3,15,7,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,2.0,0.912327,0.742046,0.954511,0.906113,0.738332,0.951816,0.863734,0.916085,1.096183,0.41,0.048593,1.0563,False,increasing,True,7.0,0.7420457124710083,0.047606886430886,0.6512539982795715,0.7844551205635071,Taraz,Aktau,1.2045,264.59024,18521.32,5291.8,,8524.746614,142.07911,1217.82,209.96,214.7,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_211241,,,
experiments_20260208_225052,20260208_225052,2021,gpt4ts_nonlinear,fedavg,72,0.001,1,15,9,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,4.0,0.907398,0.739043,0.951909,0.903628,0.736437,0.950499,0.880655,0.914663,0.93516,0.79,0.026743,1.0304,False,increasing,True,9.0,0.739043140411377,0.0487494099121603,0.645993173122406,0.7832574248313904,Taraz,Aktau,1.2125,264.59024,23813.12,10583.61,16.57,4655.520408,77.592007,517.28,69.65,73.18,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_225052,,,
experiments_20260208_223944,20260208_223944,2021,gpt4ts_nonlinear,fedavg,72,0.0005,2,15,7,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,2.0,0.910901,0.74133,0.953793,0.906109,0.738434,0.951803,0.871076,0.911649,1.044197,0.08,0.039825,1.0457,False,increasing,True,7.0,0.7413295626640319,0.0478885298259243,0.6499649286270142,0.7849981784820557,Taraz,Aktau,1.2078,264.59024,18521.32,5291.8,,6139.186811,102.31978,877.03,141.29,146.04,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_223944,,,
experiments_20260208_233507,20260208_233507,2021,gpt4ts_nonlinear,fedavg,72,0.0005,3,15,6,32,5,0.01,3,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168,69360744,264.59024,1.0,0.913035,0.740893,0.954841,0.905376,0.736898,0.951402,0.884541,0.913035,1.083572,0.0,0.028494,1.0322,False,increasing,True,6.0,0.7408933997154236,0.0493796441079274,0.6468289494514465,0.7849591374397278,Taraz,Aktau,1.2135,264.59024,15875.41,2645.9,,7257.875588,120.964593,1209.65,208.39,215.43,early_stopped,/raid/tin_trungchau/federated_learning/Long-term_Forecasting/flower_app/experiments_20260208_233507,,,
